"","YEAR","Type","Distinction","Area","Fish"
"521",2012,"Sub-Legal","Released","WCVI offshore",14395
"522",2012,"Sub-Legal","Released","WCVI inshore",14410
"523",2013,"Sub-Legal","Released","North Island JST",5058
"524",2013,"Sub-Legal","Released","Northern GST",47075
"525",2013,"Sub-Legal","Released","Southern GST",24203
"526",2013,"Sub-Legal","Released","Saanich-Juan de Fuca",16062
"527",2013,"Sub-Legal","Released","WCVI offshore",12894
"528",2013,"Sub-Legal","Released","WCVI inshore",15610
"529",2014,"Sub-Legal","Released","North Island JST",5732
"530",2014,"Sub-Legal","Released","Northern GST",26567
"531",2014,"Sub-Legal","Released","Southern GST",2348
